first_type,second_type,third_type,name,buy
Художественная литература,Фэнтези,Зарубежное фэнтези,Ли Бардуго: Крах и восход,3621
Художественная литература,Фэнтези,Зарубежное фэнтези,Ли Бардуго: Штурм и буря,3540
Научно-популярная литература,Психология,Популярная психология,Салимова Тати: Дыши. Чувствуй. Пиши. Книга-практикум с мантрами на любовь к себе,454
Художественная литература,Фэнтези,Зарубежное фэнтези,Ли Бардуго: Тень и кость,4154
Художественная литература,Фэнтези,Зарубежное фэнтези,Маас Сара Дж.: Королевство гнева и тумана,461
Художественная литература,Фэнтези,Зарубежное фэнтези,Кристофф Джей: Неночь,2037
Художественная литература,Фэнтези,Городское фэнтези,Гор Анастасия: Ковен озера Шамплейн,1372
Художественная литература,Проза,Классическая зарубежная литература,Уайльд Оскар: Портрет Дориана Грея,3089
Художественная литература,Фэнтези,Зарубежное фэнтези,Ли Бардуго: Продажное королевство,3763
Художественная литература,Фэнтези,Зарубежное фэнтези,Ли Бардуго: Шестерка воронов,4261
Художественная литература,Эпос и фольклор,Афоризмы,Твен Марк: Никогда не спорьте с идиотами!,3209
Научно-популярная литература,Психология,Классическая психология,Фромм Эрих: Искусство любить,4900
Художественная литература,Фэнтези,Зарубежное фэнтези,Маас Сара Дж.: Королевство шипов и роз. Книга 1,421
Художественная литература,Проза,Современная русская проза,Бессонов Александр: Мадам,207
Бизнес-литература,Просто о бизнесе,Бизнес-справочники,Реклама в коммуникационном процессе. Учебное пособие. Стандарт третьего поколения,10
Бизнес-литература,Просто о бизнесе,Бизнес-справочники,Винстон Уэйн: Бизнес-моделирование и анализ данных. Решение актуальных задач с помощью Microsoft Excel. 6-е издание,45
Бизнес-литература,Просто о бизнесе,Электронная коммерция,Акта Акта: Дневник покорения Instagram от Acta Acta,449
Бизнес-литература,Просто о бизнесе,Электронная коммерция,"Хильт Алиона Игоревна: Как раскрутить блог в Instagram: лайфхаки, тренды, жизнь",75
Бизнес-литература,Просто о бизнесе,Стартапы и создание бизнеса,Бесконечный стартап,20
Бизнес-литература,Просто о бизнесе,Инновации в бизнесе,Романс Э.: Настольная книга венчурного предпринимателя: Секреты лидеров стартапов,21
Бизнес-литература,Просто о бизнесе,Бизнес-стратегии,Джордж Майкл: Бережливое производство плюс шесть сигм в сфере услуг,8
Бизнес-литература,Просто о бизнесе,Инновации в бизнесе,"Будро Джон, Джесутасан Равин: Реинжиниринг бизнеса: Как грамотно внедрить автоматизацию и искусственный интеллект",24
Бизнес-литература,Просто о бизнесе,Бизнес-стратегии,Пинкун Дамронг: Адская стратегия,19
Бизнес-литература,Просто о бизнесе,Психология бизнеса,Хилл Наполеон: Обрети Силу для получения Больших Денег! Секреты сверхбогатых людей планеты,75
Бизнес-литература,Просто о бизнесе,Психология бизнеса,Хилл Наполеон: Обрети Силу для получения Больших Денег! Секреты сверхбогатых людей планеты,50
Бизнес-литература,Просто о бизнесе,Российский бизнес,"Антиуправление бизнесом, или Как не разрушить бизнес, улучшая его качество",21
Бизнес-литература,Просто о бизнесе,Российский бизнес,Развитие живой компании,20
Бизнес-литература,Просто о бизнесе,Российский бизнес,"Антиуправление бизнесом, или Как не разрушить бизнес, улучшая его качество",20
Бизнес-литература,Просто о бизнесе,Предпринимательство,Кларк Дункан: Alibaba. История мирового восхождения,298
Бизнес-литература,Просто о бизнесе,Эффективность бизнеса,Кови Стивен: Семь навыков высокоэффективных людей (Серия 15 MustRead),15
Бизнес-литература,Просто о бизнесе,Эффективность бизнеса,Вайсc Антонио : 101 идея для роста вашего бизнеса: Результаты новейших исследований эффективности людей и организаций,13
Бизнес-литература,Просто о бизнесе,Эффективность бизнеса,Толкачев А.: Эффект звонка: как договориться по телефону?,23
Бизнес-литература,Просто о бизнесе,Эффективность бизнеса,Действуй эффективно! Лучшая практика менеджмента,29
Бизнес-литература,Просто о бизнесе,Эффективность бизнеса,Методы спецназа для руководителей: Практическое руководство по формированию эффективных команд на основе управленческой системы воинских подразделений,13
Бизнес-литература,Просто о бизнесе,Эффективность бизнеса,Замышляев Олег: Матрица перемен: Как повысить эффективность изменений в компании,24
Бизнес-литература,Просто о бизнесе,Эффективность бизнеса,Трансформация бизнеса. Построение эффективной компании,23
Бизнес-литература,Просто о бизнесе,Эффективность бизнеса,"Кови Стивен, Боб Уитман, Брек Ингланд: Правила эффективного лидерства",26
Бизнес-литература,Просто о бизнесе,Эффективность бизнеса,Друкер Питер: Эффективный руководитель,21
Бизнес-литература,Просто о бизнесе,Эффективность бизнеса,"Ричард Пейзер, Дэвид Гамильтон: Профессиональный девелопмент недвижимости. Руководство ULI по ведению бизнеса",11
Бизнес-литература,Просто о бизнесе,Эффективность бизнеса,Келси Д.: Блестящие совещания,8
Бизнес-литература,Просто о бизнесе,Эффективность бизнеса,Верн Харниш: Развитие бизнеса. Инструменты прибыльного роста,35
Бизнес-литература,Просто о бизнесе,Эффективность бизнеса,"Иэн Уоллис: Бизнес-идеи, которые изменили мир (в суперобложке)",29
Бизнес-литература,Просто о бизнесе,Эффективность бизнеса,"Мрочковский Николай Сергеевич, Парабеллум Н.: Бизнес. Перезагрузка",29
Бизнес-литература,Просто о бизнесе,Стартапы и создание бизнеса,Яковлев Михаил Геннадьевич: Народный бизнес. Как быстро открыть свое дело и сразу начать зарабатывать,65
Бизнес-литература,Просто о бизнесе,Эффективность бизнеса,"Екатерина Иноземцева: Стартап без купюр, или 50 и 1 урок, как сделать бизнес в Москве для клиентов со всего мира",21
Бизнес-литература,Просто о бизнесе,Эффективность бизнеса,Змановский Александр: Бизнес-Куб. Как прокачать объемное мышление и вывести компанию на новый уровень,20
Бизнес-литература,Просто о бизнесе,Эффективность бизнеса,"Солис Брайан: Макротренды в бизнесе. Как стать компанией новой волны, создавая эмоции, привлекающие клиентов",30
Бизнес-литература,Просто о бизнесе,Эффективность бизнеса,Бизнес в позе лотоса. Как совместить работу и духовный поиск,24
Бизнес-литература,Просто о бизнесе,Эффективность бизнеса,"Ливайн Майкл: Разбитые окна, разбитый бизнес: Как мельчайшие детали влияют на большие достижения + 2-е издание",20
Бизнес-литература,Просто о бизнесе,Эффективность бизнеса,Дюмейн Брайан: Безономика: Как Amazon меняет мировой бизнес. Правила игры Джеффа Безоса,21
Бизнес-литература,Просто о бизнесе,Эффективность бизнеса,"Джек Стэк, Бо Берлингем: Большая игра в бизнес",23
Бизнес-литература,Просто о бизнесе,Эффективность бизнеса,Живая организация. Трансформация бизнеса на пути к выдающимся результатам.,20
